ABSTIMMUNG	gruenen	spd	cdu/csu	die.linke	fraktionslos	file
018-167-01	1.0	0.00704225352113	0.0174216027875	1.0	-1	20160428_1_xls-data.xls
018-167-02	0.0	0.993548387097	1.0	0.0	-1	20160428_2_xls-data.xls
018-170-01	1.0	0.0	0.0	1.0	-1	20160512_1_xls-data.xls
018-170-02	1.0	0.0	0.0	1.0	-1	20160512_2_xls-data.xls
018-170-03	0.0	1.0	1.0	0.0	-1	20160512_3_xls-data.xls
018-170-04	0.933333333333	0.976744186047	1.0	0.0	-1	20160512_4_xls-data.xls
018-170-05	0.692307692308	0.96511627907	1.0	0.0	-1	20160512_5_xls-data.xls
018-171-01	0.0	0.869047619048	1.0	0.0	-1	20160513_1_xls-data.xls
018-179-01	0.962962962963	0.983606557377	1.0	0.0	-1	20160623_1_xls-data.xls
018-179-02	0.962264150943	0.966850828729	1.0	0.0	-1	20160623_2_xls-data.xls
018-179-03	1.0	0.0	0.0	1.0	-1	20160623_3_xls-data.xls
018-180-01	0.0	0.989071038251	1.0	0.0	-1	20160624_1_xls-data.xls
018-180-02	0.0	1.0	0.996153846154	0.0	-1	20160624_2_xls-data.xls
018-183-01	1.0	1.0	1.0	1.0	-1	20160707_1_xls-data.xls
018-183-02	0.0	0.994565217391	1.0	0.0	-1	20160707_2_xls-data.xls
018-183-03	0.0	0.994594594595	1.0	0.0	-1	20160707_3_xls-data.xls
018-183-04	0.0	0.977011494253	1.0	0.0	-1	20160707_4_xls-data.xls
018-184-01	0.0	0.982456140351	0.982206405694	0.0	-1	20160708_1_xls-data.xls
018-190-01	0.0	0.0	0.0	1.0	-1	20160922_1_xls-data.xls
018-190-03	1.0	0.0	0.00350877192982	1.0	-1	20160922_3_xls-data.xls
018-190-04	0.016393442623	0.964912280702	1.0	0.0	-1	20160922_2_xls-data.xls
018-193-01	0.0	1.0	1.0	0.0	-1	20160929_1_xls-data.xls
018-193-02	-1	1.0	1.0	0.0	-1	20160929_2_xls-data.xls
018-193-03	0.0	0.934911242604	1.0	0.0	-1	20160929_3_xls-data.xls
018-198-01	0.98275862069	0.539772727273	0.219931271478	0.76	-1	20161109_1_xls-data.xls
018-198-02	0.0	0.281609195402	0.0102040816327	0.333333333333	-1	20161109_2_xls-data.xls
018-198-03	0.0	0.445086705202	0.81724137931	0.313725490196	-1	20161109_3_xls-data.xls
018-199-01	0.0	1.0	1.0	0.0	-1	20161110_1_xls-data.xls
018-199-02	0.0	0.852459016393	0.993127147766	0.0	-1	20161110_2_xls-data.xls
018-200-01	0.0	0.595375722543	0.923913043478	0.0	-1	20161111_1_xls-data.xls
018-202-01	0.0	1.0	1.0	0.0	-1	20161123_1_xls-data.xls
018-204-01	0.0	1.0	1.0	0.0	-1	20161125_1_xls-data.xls
018-206-01	0.0	1.0	1.0	0.0	-1	20161201_1_xls-data.xls
018-206-02	-1	1.0	1.0	-1	-1	20161201_2_xls-data.xls
018-209-01	0.981132075472	1.0	0.992957746479	0.0	-1	20161215_1_xls-data.xls
018-209-02	1.0	0.994565217391	1.0	0.0	-1	20161215_2_xls-data.xls
018-209-03	1.0	0.994505494505	1.0	0.0	-1	20161215_3_xls-data.xls
018-209-04	0.369565217391	0.911602209945	1.0	0.0	-1	20161215_4_xls-data.xls
018-209-05	1.0	1.0	1.0	-1	-1	20161215_5_xls-data.xls
018-212-01	0.0	1.0	1.0	0.0	-1	20170119_1_xls-data.xls
018-212-02	0.981818181818	1.0	1.0	0.0	-1	20170119_2_xls-data.xls
018-212-03	0.0	1.0	1.0	0.0	-1	20170119_3_xls-data.xls
018-215-01	0.981481481481	0.961325966851	1.0	0.0	1.0	20170126_1_xls-data.xls
018-215-02	0.181818181818	0.933333333333	1.0	0.0	1.0	20170126_2_xls-data.xls
018-221-01	1.0	0.0	0.0	1.0	0.0	20170309_1_xls-data.xls
018-221-02	-1	1.0	1.0	0.0	1.0	20170309_2_xls-data.xls
018-221-03	1.0	0.0	0.0	1.0	0.0	20170309_3_xls-data.xls
018-221-04	1.0	0.0	0.0	1.0	0.0	20170309_4_xls-data.xls
018-226-01	0.0	0.846625766871	0.973684210526	0.0	-1	20170324_1_xls-data.xls
018-226-02	0.0	0.885350318471	0.985185185185	0.0	-1	20170324_2_xls-data.xls
018-228-01	1.0	0.0	0.0	1.0	-1	20170330_1_xls-data.xls
018-228-02	1.0	0.0	0.0	1.0	-1	20170330_2_xls-data.xls
018-228-03	0.0	0.970760233918	1.0	0.0	-1	20170330_3_xls-data.xls
018-234-01	0.949152542373	0.954285714286	1.0	0.0	1.0	20170518_1_xls-data.xls
018-234-02	0.714285714286	0.947674418605	1.0	0.0	1.0	20170518_2_xls-data.xls
018-237-01	1.0	0.0165745856354	0.0	1.0	0.0	20170601_1_xls-data.xls
018-237-02	1.0	0.00552486187845	0.0	1.0	0.0	20170601_2_xls-data.xls
018-237-03	1.0	0.0111111111111	0.003300330033	1.0	0.0	20170601_3_xls-data.xls
018-237-04	0.0	0.826086956522	0.993421052632	0.0	1.0	20170601_4_xls-data.xls
018-237-05	0.0	0.983783783784	0.993355481728	1.0	1.0	20170601_5_xls-data.xls
018-237-06	0.0	0.983695652174	0.990131578947	0.0	1.0	20170601_6_xls-data.xls
018-237-07	0.0	0.839779005525	0.993421052632	0.0	1.0	20170601_7_xls-data.xls
018-237-08	0.0	0.841530054645	0.990099009901	0.0	1.0	20170601_8_xls-data.xls
018-237-09	-1	0.0	0.0	1.0	0.0	20170601_9_xls-data.xls
018-237-10	0.0	1.0	1.0	-1	1.0	20170601_10_xls-data.xls
018-237-11	0.0	0.980891719745	0.99649122807	0.0	1.0	20170601_11_xls-data.xls
018-237-12	1.0	0.0059880239521	0.0	1.0	0.0	20170601_12_xls-data.xls
018-237-13	0.0	0.982352941176	0.996428571429	0.0	0.0	20170601_13_xls-data.xls
018-239-01	0.0	0.994350282486	1.0	0.0	0.0	20170621_1_xls-data.xls
018-239-02	0.0	0.994350282486	1.0	0.0	1.0	20170621_2_xls-data.xls
018-240-01	0.0	1.0	1.0	1.0	-1	20170622_1_xls-data.xls
018-240-02	0.961538461538	0.982954545455	1.0	0.0	-1	20170622_2_xls-data.xls
018-241-01	-1	0.0	0.0	1.0	-1	20170623_1_xls-data.xls
018-243-01	0.0	0.972222222222	1.0	0.0	-1	20170629_1_xls-data.xls
018-243-02	0.979166666667	0.965909090909	1.0	0.0	-1	20170629_2_xls-data.xls
018-244-01	1.0	1.0	0.25	1.0	0.0	20170630_1_xls-data.xls
