Abstimmung	AfD	Die Linke	Bündnis 90/Die Grünen	Fraktionslos	SPD	CDU/CSU	FDP	BSW	
020-164-01	0.0	1.0	1.0	0.2	1.0	0.0	0.8767123287671232	0.0	
020-164-02	0.0	1.0	1.0	0.5	1.0	0.0	1.0	0.0	
020-166-02	0.0	0.0	0.9904761904761905	0.3333333333333333	0.9790575916230366	1.0	1.0	0.0	
020-167-01	0.0	-1	1.0	0.3333333333333333	1.0	0.0	1.0	0.0	
020-169-01	0.0	1.0	1.0	0.25	1.0	1.0	1.0	-1	
020-171-01	0.0	1.0	1.0	0.25	1.0	1.0	1.0	1.0	
020-172-01	0.0	1.0	1.0	0.16666666666666666	1.0	0.0	1.0	1.0	
020-172-02	0.0	0.0	1.0	0.16666666666666666	1.0	0.0	1.0	-1	
020-175-01	1.0	0.0	0.0	0.8	0.0	1.0	0.0	-1	
020-175-02	0.0	1.0	1.0	0.16666666666666666	1.0	1.0	1.0	-1	
020-175-03	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
020-178-01	0.2413793103448276	0.0	0.99	0.6	0.9946808510638298	1.0	1.0	0.0	
020-178-02	0.016129032258064516	0.0	0.98989898989899	0.25	0.9946524064171123	1.0	1.0	0.0	
020-178-03	0.04838709677419355	0.0	0.9896907216494846	0.2	1.0	1.0	1.0	0.0	
020-182-01	0.0	1.0	1.0	0.16666666666666666	1.0	0.0	1.0	1.0	
020-194-01	1.0	0.0	0.0	0.8	0.0	1.0	0.0	0.0	
020-194-02	0.0	0.0	1.0	0.0	0.9944444444444445	0.0	0.9883720930232558	0.0	
020-194-03	0.0	0.0	0.9903846153846154	0.16666666666666666	1.0	0.9941176470588236	1.0	0.0	
020-195-01	1.0	0.0	0.0	0.8333333333333334	0.0	1.0	0.02247191011235955	1.0	
020-195-02	0.0	0.0	0.9908256880733946	0.0	0.9946524064171123	0.0	0.9418604651162791	0.0	
020-195-03	0.0	0.0	0.9439252336448598	0.0	0.9193548387096774	0.0	1.0	0.0	
020-195-04	0.0	0.0	0.9722222222222222	0.0	0.9621621621621622	0.0	0.9655172413793104	0.0	
020-195-05	1.0	0.0	0.0	0.6	0.0	1.0	0.0	-1	
020-195-06	-1	0.0	0.0	0.75	0.0	1.0	0.0	1.0	
020-195-07	1.0	0.0	0.0	0.8333333333333334	0.0	1.0	0.03409090909090909	1.0	
020-195-08	0.0	0.9375	0.9907407407407407	0.16666666666666666	1.0	1.0	1.0	-1	
020-195-09	0.01694915254237288	1.0	1.0	0.2	1.0	1.0	1.0	-1	
