poll	'GRUENE'	'OEDP'	'BUENDNISC'	'ALFA'	'DIEPARTEI'	'AFD'	'NPD'	'BLAUE'	'LINKE'	'FDP'	'CDU/CSU'	'individual'	'FREIEWAEHLER'	'PIRATEN'	'SPD'
a7bfb784-f0e3-4dea-9ee5-a63024adff6f	1.0	1.0	0.0	0.4	1.0	1.0	-1	1.0	1.0	0.5	0.0	1.0	1.0	1.0	1.0
a20356f9-a8f6-4093-ab58-1cf336d4f871	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	-1	1.0	1.0	-1	1.0	1.0
844ed2e1-303f-49bb-a63f-b7adb938593a	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	1.0	0.928571428571	0.0	0.0	-1	1.0
72d19836-8d9d-4f95-a8bb-0c0b89be5c06	1.0	1.0	0.0	0.0	-1	0.0	0.0	0.0	1.0	0.666666666667	0.0	-1	1.0	1.0	1.0
209e4dd1-0634-45a3-a549-45dd274a0b0e	1.0	1.0	0.0	0.8	1.0	-1	1.0	0.0	1.0	1.0	0.0	1.0	-1	1.0	1.0
e0573489-7fb9-45f0-93ec-b6f4f33c7d4b	0.375	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
83f43a49-c047-4390-aaee-14cbe5a55525	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-1	1.0	0.0	0.0	1.0	-1	1.0	1.0
393d3eed-93b5-4cc8-a656-f261daa90351	1.0	1.0	1.0	0.0	-1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
94bf3f53-5ee6-4747-a47e-c2c132156c26	1.0	-1	0.0	0.0	-1	0.0	1.0	0.0	0.714285714286	1.0	1.0	0.0	1.0	-1	1.0
6df607b7-8f25-47d5-903e-36f6560f592c	0.545454545455	0.0	1.0	0.6	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	1.0	0.0	0.695652173913
277599c2-6d75-4593-9a33-dd94d25871dd	1.0	1.0	1.0	0.25	-1	0.0	1.0	0.0	1.0	1.0	0.9	1.0	-1	1.0	1.0
9deacc77-87c2-4830-a3d6-10f2effb82aa	0.0	0.0	-1	0.0	-1	0.0	-1	0.0	1.0	1.0	1.0	1.0	-1	0.0	1.0
c0f955e0-82d9-46b4-9f16-77f508963b6d	1.0	1.0	1.0	1.0	-1	0.0	-1	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
0705670c-1e29-4056-b4f2-6c2ff82a9e47	1.0	1.0	1.0	1.0	0.0	1.0	-1	1.0	1.0	1.0	0.423076923077	1.0	1.0	1.0	1.0
de2c3caf-d77b-457a-8e02-73bcdb60abad	1.0	1.0	1.0	0.2	0.0	0.0	1.0	0.0	1.0	-1	0.64	1.0	1.0	1.0	1.0
fa3b937b-f7ee-4e28-9172-02034bc92a40	1.0	1.0	-1	0.2	1.0	1.0	-1	1.0	1.0	1.0	0.838709677419	0.0	1.0	1.0	0.947368421053
e0cd7654-49f3-49b6-87dc-d8ec90003919	0.0	0.0	1.0	1.0	1.0	1.0	-1	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.818181818182
1b17aff5-1e52-441b-b34f-c3857cecd1b2	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-1	1.0	0.962962962963	-1	-1	-1	1.0
36c62c37-0c47-4a7a-b031-9e0636c07955	1.0	1.0	-1	0.0	1.0	-1	0.0	0.0	1.0	-1	1.0	1.0	1.0	1.0	1.0
cfad47a6-dc9f-40a4-926c-61040ea27f20	1.0	1.0	0.0	0.25	1.0	0.0	0.0	0.0	1.0	-1	0.111111111111	-1	1.0	1.0	1.0
e581a2f9-992a-401e-b488-732037fb9028	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.827586206897	1.0	1.0	1.0	1.0
2de4d4d2-838d-42e9-851d-d09d7c1354cd	1.0	1.0	0.0	1.0	1.0	-1	1.0	0.0	1.0	1.0	0.964285714286	1.0	1.0	1.0	1.0
