poll	'ALFA_FAMILIEN.PARTEI_EKR'	'AfD_EFFD'	'AfD_ENF'	'CDU_CSU_EVP'	'GRUENE_PIRATEN_ODP_EFA'	'LINKE_GUE_NGL'	'FDP_FREIE.WAEHLER_ALDE'	'GUE_NGL'	'SPD_S.D'	'fraktionslos'
2016-02-03-83f43a49-c047-4390-aaee-14cbe5a55525	0.2	1.0	-1	0.0	1.0	1.0	0.0	1.0	1.0	0.5
2015-11-25-43b62e8f-afef-4083-a71b-753ccdbecd6d	0.8333333333333334	0.0	0.0	1.0	1.0	0.0	0.5	0.0	0.76	0.5
2015-11-11-844ed2e1-303f-49bb-a63f-b7adb938593a	0.0	-1	0.0	0.9285714285714286	0.0	0.0	0.5	0.0	1.0	0.0
2015-04-28-393d3eed-93b5-4cc8-a656-f261daa90351	0.25	-1	-1	1.0	1.0	0.0	1.0	-1	1.0	0.0
2015-10-06-3017adbf-e55e-4914-ad2f-47744e7719f7	0.3333333333333333	0.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0
2015-10-07-03d5024e-7b73-40ff-9e69-1ac7e6cc2882	1.0	0.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	0.5
2015-10-08-e2dfb814-8dc6-4132-b354-a4b0dffdde4b	0.0	0.0	0.0	0.19047619047619047	1.0	1.0	0.5	-1	1.0	-1
2015-10-06-de2c3caf-d77b-457a-8e02-73bcdb60abad	0.3333333333333333	0.0	0.0	0.64	1.0	1.0	1.0	-1	1.0	0.5
2015-09-10-0fa40696-9a07-4770-bddd-338db1509a69	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	-1
2015-09-10-a98d55d5-26c3-4a51-a99a-8bd0e525b628	0.0	0.0	0.0	1.0	1.0	1.0	1.0	-1	1.0	-1
2015-09-10-c0f955e0-82d9-46b4-9f16-77f508963b6d	1.0	0.0	1.0	1.0	1.0	0.0	1.0	-1	1.0	-1
2015-09-10-f42b1ba1-d57a-4ee0-83e2-a83134df2ef4	1.0	0.0	1.0	0.9615384615384616	0.1	0.0	-1	-1	0.05555555555555555	0.0
2015-09-08-94bf3f53-5ee6-4747-a47e-c2c132156c26	0.0	0.0	0.0	1.0	1.0	0.7142857142857143	1.0	-1	1.0	1.0
2015-02-11-a7bfb784-f0e3-4dea-9ee5-a63024adff6f	0.75	-1	-1	0.0	1.0	1.0	0.6666666666666666	-1	1.0	1.0
2015-02-11-1e33c664-17d7-4631-bb13-d50eea58837f	1.0	-1	-1	0.058823529411764705	1.0	1.0	0.3333333333333333	-1	1.0	1.0
2014-11-27-8b59269f-b5f6-4221-b113-2b7a6a7ea708	1.0	-1	-1	1.0	0.0	-1	0.0	-1	0.8888888888888888	0.5
2014-10-23-608d1653-952d-4039-8021-61a089c3fb6e	1.0	-1	-1	1.0	1.0	-1	1.0	-1	1.0	1.0
2015-07-09-2b962506-401b-45b7-8a4d-c3a12b35ceef	-1	-1	-1	1.0	1.0	0.0	1.0	-1	1.0	-1
2015-04-30-5f314d77-4e55-49d2-8f28-18356d3e1250	0.5	-1	-1	1.0	0.0	0.0	1.0	-1	1.0	-1
2015-02-11-e0cd7654-49f3-49b6-87dc-d8ec90003919	1.0	-1	-1	1.0	0.0	0.0	1.0	-1	0.8181818181818182	1.0
2014-07-17-78c330d6-09c6-47a4-982f-a67146262776	1.0	-1	-1	1.0	1.0	1.0	1.0	-1	1.0	1.0
2015-07-07-2436eb70-9eb4-4cb6-999f-b6d2ad59782e	0.0	-1	0.0	1.0	0.8888888888888888	0.0	1.0	-1	1.0	1.0
2015-03-25-dd9837cd-1699-4929-9539-7ccd6546c103	0.3333333333333333	-1	-1	1.0	1.0	0.0	1.0	-1	1.0	-1
2014-12-17-91aee230-2ac2-4bca-a90b-3c9c11ded2b3	0.0	-1	-1	0.9696969696969697	1.0	1.0	1.0	-1	1.0	1.0
2015-05-21-83ca30d0-39f2-488a-b244-91a92720d57f	0.25	-1	-1	1.0	0.0	0.0	1.0	-1	0.2857142857142857	0.5
2015-06-09-72c8d5e7-e7d1-4b31-99c3-99644c7adff3	0.0	-1	-1	0.0	0.9230769230769231	1.0	0.5	-1	1.0	0.5
2014-10-22-2c27f2a1-ba90-4067-bc52-a114e55acada	0.25	-1	-1	0.967741935483871	0.0	0.0	1.0	-1	0.9230769230769231	0.0
2015-06-10-34d2fd08-9bbf-4948-88c6-183864116d6d	0.0	-1	-1	0.9705882352941176	1.0	0.0	1.0	-1	1.0	0.5
2015-07-09-fe2780f4-81e2-419d-a7f1-61776c547cfa	1.0	-1	0.0	1.0	1.0	1.0	1.0	-1	1.0	-1
2015-07-08-f1a0b307-e891-4e17-9e10-1e811474b2bc	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-1	0.8846153846153846	0.0
2014-07-17-4cf62b4b-59a5-4a9c-aae9-17ebf3700446	0.0	-1	-1	0.96	1.0	0.6666666666666666	1.0	-1	1.0	0.0
