Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
19,160,4,CDU/CSU,740,Helfrich,Mark,,0,0,0,0,1,Mark Helfrich,
19,160,4,CDU/CSU,750,Henke,Rudolf,,1,0,0,0,0,Rudolf Henke,
19,160,4,CDU/CSU,760,Hennrich,Michael,,1,0,0,0,0,Michael Hennrich,
19,160,4,CDU/CSU,770,Henrichmann,Marc,,1,0,0,0,0,Marc Henrichmann,
19,160,4,CDU/CSU,780,Heveling,Ansgar,,1,0,0,0,0,Ansgar Heveling,
19,160,4,CDU/CSU,790,Hirte,Christian,,1,0,0,0,0,Christian Hirte,
19,160,4,CDU/CSU,800,Hirte,Heribert,,1,0,0,0,0,Dr. Heribert Hirte,
19,160,4,CDU/CSU,810,Hoffmann,Alexander,,1,0,0,0,0,Alexander Hoffmann,
19,160,4,CDU/CSU,820,Holmeier,Karl,,1,0,0,0,0,Karl Holmeier,
19,160,4,CDU/CSU,830,Hoppenstedt,Hendrik,,1,0,0,0,0,Dr. Hendrik Hoppenstedt,
19,160,4,CDU/CSU,840,Irlstorfer,Erich,,1,0,0,0,0,Erich Irlstorfer,
19,160,4,CDU/CSU,850,Irmer,Hans-Jürgen,,0,1,0,0,0,Hans-Jürgen Irmer,
19,160,4,CDU/CSU,860,Jarzombek,Thomas,,1,0,0,0,0,Thomas Jarzombek,
19,160,4,CDU/CSU,870,Jung,Andreas,,1,0,0,0,0,Andreas Jung,
19,160,4,CDU/CSU,880,Jung,Ingmar,,1,0,0,0,0,Ingmar Jung,
19,160,4,CDU/CSU,890,Karl,Alois,,1,0,0,0,0,Alois Karl,
19,160,4,CDU/CSU,900,Karliczek,Anja,,1,0,0,0,0,Anja Karliczek,
19,160,4,CDU/CSU,910,Kartes,Torbjörn,,1,0,0,0,0,Torbjörn Kartes,
19,160,4,CDU/CSU,920,Kauder,Volker,,1,0,0,0,0,Volker Kauder,
19,160,4,CDU/CSU,930,Kaufmann,Stefan,,1,0,0,0,0,Dr. Stefan Kaufmann,
19,160,4,CDU/CSU,940,Kemmer,Ronja,,1,0,0,0,0,Ronja Kemmer,
19,160,4,CDU/CSU,950,Kiesewetter,Roderich,,1,0,0,0,0,Roderich Kiesewetter,
19,160,4,CDU/CSU,960,Kießling,Michael,,1,0,0,0,0,Michael Kießling,
19,160,4,CDU/CSU,970,Kippels,Georg,,1,0,0,0,0,Dr. Georg Kippels,
19,160,4,CDU/CSU,980,Klein,Volkmar,,1,0,0,0,0,Volkmar Klein,
19,160,4,CDU/CSU,990,Knoerig,Axel,,1,0,0,0,0,Axel Knoerig,
19,160,4,CDU/CSU,1000,Koeppen,Jens,,1,0,0,0,0,Jens Koeppen,
19,160,4,CDU/CSU,1010,Koob,Markus,,1,0,0,0,0,Markus Koob,
19,160,4,CDU/CSU,1020,Körber,Carsten,,1,0,0,0,0,Carsten Körber,
19,160,4,CDU/CSU,1030,Krauß,Alexander,,1,0,0,0,0,Alexander Krauß,
19,160,4,CDU/CSU,1040,Krichbaum,Gunther,,1,0,0,0,0,Gunther Krichbaum,
19,160,4,CDU/CSU,1050,Krings,Günter,,1,0,0,0,0,Dr. Günter Krings,
19,160,4,CDU/CSU,1060,Kruse,Rüdiger,,1,0,0,0,0,Rüdiger Kruse,
19,160,4,CDU/CSU,1070,Kuffer,Michael,,1,0,0,0,0,Michael Kuffer,
19,160,4,CDU/CSU,1080,Kühne,Roy,,0,0,0,0,1,Dr. Roy Kühne,
19,160,4,CDU/CSU,1090,Lamers,Karl A.,,0,0,0,0,1,Dr. Dr. h. c. Karl A. Lamers,
19,160,4,CDU/CSU,1100,Lämmel,Andreas G.,,1,0,0,0,0,Andreas G. Lämmel,
19,160,4,CDU/CSU,1110,Landgraf,Katharina,,1,0,0,0,0,Katharina Landgraf,
19,160,4,CDU/CSU,1120,Lange,Ulrich,,1,0,0,0,0,Ulrich Lange,
19,160,4,CDU/CSU,1130,Launert,Silke,,1,0,0,0,0,Dr. Silke Launert,
19,160,4,CDU/CSU,1140,Lehmann,Jens,,1,0,0,0,0,Jens Lehmann,
19,160,4,CDU/CSU,1150,Lehrieder,Paul,,1,0,0,0,0,Paul Lehrieder,
19,160,4,CDU/CSU,1160,Leikert,Katja,,1,0,0,0,0,Dr. Katja Leikert,
19,160,4,CDU/CSU,1170,Lenz,Andreas,,1,0,0,0,0,Dr. Andreas Lenz,
19,160,4,CDU/CSU,1190,Lezius,Antje,,1,0,0,0,0,Antje Lezius,
19,160,4,CDU/CSU,1200,Lindholz,Andrea,,1,0,0,0,0,Andrea Lindholz,
19,160,4,CDU/CSU,1210,Linnemann,Carsten,,1,0,0,0,0,Dr. Carsten Linnemann,
19,160,4,CDU/CSU,1220,Lips,Patricia,,1,0,0,0,0,Patricia Lips,
19,160,4,CDU/CSU,1230,Löbel,Nikolas,,1,0,0,0,0,Nikolas Löbel,
19,160,4,CDU/CSU,1240,Loos,Bernhard,,1,0,0,0,0,Bernhard Loos,
19,160,4,CDU/CSU,1250,Luczak,Jan-Marco,,1,0,0,0,0,Dr. Jan-Marco Luczak,
19,160,4,CDU/CSU,1260,Ludwig,Daniela,,1,0,0,0,0,Daniela Ludwig,
19,160,4,CDU/CSU,1261,Ludwig,Saskia,,0,0,0,0,1,Dr. Saskia Ludwig,
19,160,4,CDU/CSU,1270,Maag,Karin,,1,0,0,0,0,Karin Maag,
19,160,4,CDU/CSU,1280,Magwas,Yvonne,,1,0,0,0,0,Yvonne Magwas,
19,160,4,CDU/CSU,1290,Maizière,Thomas,de,1,0,0,0,0,Dr. Thomas de Maizière,
19,160,4,CDU/CSU,1291,Manderla,Gisela,,1,0,0,0,0,Gisela Manderla,
19,160,4,CDU/CSU,1300,Mannes,Astrid,,1,0,0,0,0,Dr. Astrid Mannes,
19,160,4,CDU/CSU,1310,Marschall,Matern,von,1,0,0,0,0,Matern von Marschall,
19,160,4,CDU/CSU,1320,Marwitz,Hans-Georg,von der,1,0,0,0,0,Hans-Georg von der Marwitz,
19,160,4,CDU/CSU,1330,Mattfeldt,Andreas,,1,0,0,0,0,Andreas Mattfeldt,
19,160,4,CDU/CSU,1340,Mayer (Altötting),Stephan,,1,0,0,0,0,Stephan Mayer (Altötting),
19,160,4,CDU/CSU,1350,Meister,Michael,,1,0,0,0,0,Dr. Michael Meister,
19,160,4,CDU/CSU,1360,Merkel,Angela,,1,0,0,0,0,Dr. Angela Merkel,
19,160,4,CDU/CSU,1370,Metzler,Jan,,1,0,0,0,0,Jan Metzler,
19,160,4,CDU/CSU,1380,Michelbach,Hans,,1,0,0,0,0,Dr. h. c. (Univ Kyiv) Hans Michelbach,
19,160,4,CDU/CSU,1390,Middelberg,Mathias,,1,0,0,0,0,Dr. Mathias Middelberg,
19,160,4,CDU/CSU,1400,Monstadt,Dietrich,,1,0,0,0,0,Dietrich Monstadt,
19,160,4,CDU/CSU,1410,Möring,Karsten,,1,0,0,0,0,Karsten Möring,
19,160,4,CDU/CSU,1430,Motschmann,Elisabeth,,1,0,0,0,0,Elisabeth Motschmann,
19,160,4,CDU/CSU,1470,Müller,Axel,,1,0,0,0,0,Axel Müller,
19,160,4,CDU/CSU,1440,Müller,Gerd,,1,0,0,0,0,Dr. Gerd Müller,
19,160,4,CDU/CSU,1480,Müller,Sepp,,1,0,0,0,0,Sepp Müller,
19,160,4,CDU/CSU,1460,Müller (Braunschweig),Carsten,,1,0,0,0,0,Carsten Müller (Braunschweig),
19,160,4,CDU/CSU,1450,Müller (Erlangen),Stefan,,1,0,0,0,0,Stefan Müller (Erlangen),
19,160,4,CDU/CSU,1490,Nick,Andreas,,1,0,0,0,0,Dr. Andreas Nick,
19,160,4,CDU/CSU,1500,Nicolaisen,Petra,,1,0,0,0,0,Petra Nicolaisen,
19,160,4,CDU/CSU,1510,Noll,Michaela,,1,0,0,0,0,Michaela Noll,
19,160,4,CDU/CSU,1520,Nüßlein,Georg,,1,0,0,0,0,Dr. Georg Nüßlein,
19,160,4,CDU/CSU,1530,Oellers,Wilfried,,1,0,0,0,0,Wilfried Oellers,
19,160,4,CDU/CSU,1540,Oßner,Florian,,1,0,0,0,0,Florian Oßner,
19,160,4,CDU/CSU,1550,Oster,Josef,,1,0,0,0,0,Josef Oster,
19,160,4,CDU/CSU,1560,Otte,Henning,,1,0,0,0,0,Henning Otte,
19,160,4,CDU/CSU,1561,Pahlmann,Ingrid,,1,0,0,0,0,Ingrid Pahlmann,
19,160,4,CDU/CSU,1570,Pantel,Sylvia,,0,1,0,0,0,Sylvia Pantel,
19,160,4,CDU/CSU,1580,Patzelt,Martin,,1,0,0,0,0,Martin Patzelt,
19,160,4,CDU/CSU,1590,Pfeiffer,Joachim,,1,0,0,0,0,Dr. Joachim Pfeiffer,
19,160,4,CDU/CSU,1600,Pilsinger,Stephan,,1,0,0,0,0,Stephan Pilsinger,
19,160,4,CDU/CSU,1610,Ploß,Christoph,,1,0,0,0,0,Dr. Christoph Ploß,
19,160,4,CDU/CSU,1620,Pols,Eckhard,,1,0,0,0,0,Eckhard Pols,
19,160,4,CDU/CSU,1630,Rachel,Thomas,,1,0,0,0,0,Thomas Rachel,
19,160,4,CDU/CSU,1640,Radomski,Kerstin,,1,0,0,0,0,Kerstin Radomski,
19,160,4,CDU/CSU,1650,Radwan,Alexander,,1,0,0,0,0,Alexander Radwan,
19,160,4,CDU/CSU,1660,Rainer,Alois,,1,0,0,0,0,Alois Rainer,
19,160,4,CDU/CSU,1670,Ramsauer,Peter,,1,0,0,0,0,Dr. Peter Ramsauer,
19,160,4,CDU/CSU,1680,Rehberg,Eckhardt,,1,0,0,0,0,Eckhardt Rehberg,
19,160,4,CDU/CSU,1690,Riebsamen,Lothar,,1,0,0,0,0,Lothar Riebsamen,
19,160,4,CDU/CSU,1700,Rief,Josef,,1,0,0,0,0,Josef Rief,
19,160,4,CDU/CSU,1710,Röring,Johannes,,1,0,0,0,0,Johannes Röring,
19,160,4,CDU/CSU,1720,Röttgen,Norbert,,1,0,0,0,0,Dr. Norbert Röttgen,
19,160,4,CDU/CSU,1730,Rouenhoff,Stefan,,1,0,0,0,0,Stefan Rouenhoff,
19,160,4,CDU/CSU,1740,Rüddel,Erwin,,1,0,0,0,0,Erwin Rüddel,
19,160,4,CDU/CSU,1750,Rupprecht,Albert,,0,0,0,0,1,Albert Rupprecht,
19,160,4,CDU/CSU,1760,Sauer,Stefan,,1,0,0,0,0,Stefan Sauer,
19,160,4,CDU/CSU,1770,Schäfer (Saalstadt),Anita,,0,0,0,0,1,Anita Schäfer (Saalstadt),
19,160,4,CDU/CSU,1780,Schäuble,Wolfgang,,1,0,0,0,0,Dr. Wolfgang Schäuble,
19,160,4,CDU/CSU,1790,Scheuer,Andreas,,1,0,0,0,0,Andreas Scheuer,
19,160,4,CDU/CSU,1800,Schimke,Jana,,0,0,0,0,1,Jana Schimke,
19,160,4,CDU/CSU,1810,Schipanski,Tankred,,1,0,0,0,0,Tankred Schipanski,
19,160,4,CDU/CSU,1820,Schmidt (Fürth),Christian,,1,0,0,0,0,Christian Schmidt (Fürth),
19,160,4,CDU/CSU,1830,Schmidtke,Claudia,,1,0,0,0,0,Dr. Claudia Schmidtke,
19,160,4,CDU/CSU,1840,Schnieder,Patrick,,0,0,0,0,1,Patrick Schnieder,
19,160,4,CDU/CSU,1850,Schön,Nadine,,1,0,0,0,0,Nadine Schön,
19,160,4,CDU/CSU,1860,Schreiner,Felix,,1,0,0,0,0,Felix Schreiner,
19,160,4,CDU/CSU,1870,Schulze,Klaus-Peter,,1,0,0,0,0,Dr. Klaus-Peter Schulze,
19,160,4,CDU/CSU,1880,Schummer,Uwe,,1,0,0,0,0,Uwe Schummer,
19,160,4,CDU/CSU,1890,Schuster (Weil am Rhein),Armin,,1,0,0,0,0,Armin Schuster (Weil am Rhein),
19,160,4,CDU/CSU,1900,Schweiger,Torsten,,1,0,0,0,0,Torsten Schweiger,
19,160,4,CDU/CSU,1910,Seif,Detlef,,1,0,0,0,0,Detlef Seif,
19,160,4,CDU/CSU,1920,Selle,Johannes,,1,0,0,0,0,Johannes Selle,
19,160,4,CDU/CSU,1930,Sendker,Reinhold,,1,0,0,0,0,Reinhold Sendker,
19,160,4,CDU/CSU,1940,Sensburg,Patrick,,1,0,0,0,0,Dr. Patrick Sensburg,
19,160,4,CDU/CSU,1941,Siebert,Bernd,,1,0,0,0,0,Bernd Siebert,
19,160,4,CDU/CSU,1950,Silberhorn,Thomas,,1,0,0,0,0,Thomas Silberhorn,
19,160,4,CDU/CSU,1960,Simon,Björn,,1,0,0,0,0,Björn Simon,
19,160,4,CDU/CSU,1970,Sorge,Tino,,1,0,0,0,0,Tino Sorge,
19,160,4,CDU/CSU,1980,Spahn,Jens,,1,0,0,0,0,Jens Spahn,
19,160,4,CDU/CSU,1990,Staffler,Katrin,,1,0,0,0,0,Katrin Staffler,
19,160,4,CDU/CSU,2000,Steffel,Frank,,1,0,0,0,0,Frank Steffel,
19,160,4,CDU/CSU,2010,Stefinger,Wolfgang,,1,0,0,0,0,Dr. Wolfgang Stefinger,
19,160,4,CDU/CSU,2020,Stegemann,Albert,,1,0,0,0,0,Albert Stegemann,
19,160,4,CDU/CSU,2030,Steier,Andreas,,1,0,0,0,0,Andreas Steier,
19,160,4,CDU/CSU,2040,Stein (Rostock),Peter,,0,0,0,0,1,Peter Stein (Rostock),
19,160,4,CDU/CSU,2050,Steineke,Sebastian,,1,0,0,0,0,Sebastian Steineke,
19,160,4,CDU/CSU,2060,Steiniger,Johannes,,1,0,0,0,0,Johannes Steiniger,
19,160,4,CDU/CSU,2070,Stetten,Christian,Frhr. von,1,0,0,0,0,Christian Frhr. von Stetten,
19,160,4,CDU/CSU,2080,Stier,Dieter,,1,0,0,0,0,Dieter Stier,
19,160,4,CDU/CSU,2090,Storjohann,Gero,,1,0,0,0,0,Gero Storjohann,
19,160,4,CDU/CSU,2100,Stracke,Stephan,,1,0,0,0,0,Stephan Stracke,
19,160,4,CDU/CSU,2110,Straubinger,Max,,1,0,0,0,0,Max Straubinger,
19,160,4,CDU/CSU,2120,Strenz,Karin,,0,0,0,0,1,Karin Strenz,
19,160,4,CDU/CSU,2140,Tauber,Peter,,1,0,0,0,0,Dr. Peter Tauber,
19,160,4,CDU/CSU,2150,Tebroke,Hermann-Josef,,1,0,0,0,0,Dr. Hermann-Josef Tebroke,
19,160,4,CDU/CSU,2160,Thies,Hans-Jürgen,,1,0,0,0,0,Hans-Jürgen Thies,
19,160,4,CDU/CSU,2170,Throm,Alexander,,1,0,0,0,0,Alexander Throm,
19,160,4,CDU/CSU,2180,Tiemann,Dietlind,,0,1,0,0,0,Dr. Dietlind Tiemann,
19,160,4,CDU/CSU,2190,Tillmann,Antje,,1,0,0,0,0,Antje Tillmann,
19,160,4,CDU/CSU,2200,Uhl,Markus,,1,0,0,0,0,Markus Uhl,
19,160,4,CDU/CSU,2210,Ullrich,Volker,,1,0,0,0,0,Dr. Volker Ullrich,
19,160,4,CDU/CSU,2220,Vaatz,Arnold,,1,0,0,0,0,Arnold Vaatz,
19,160,4,CDU/CSU,2240,Vieregge,Kerstin,,1,0,0,0,0,Kerstin Vieregge,
19,160,4,CDU/CSU,2250,Vogel (Kleinsaara),Volkmar,,1,0,0,0,0,Volkmar Vogel (Kleinsaara),
19,160,4,CDU/CSU,2270,Vries,Christoph,de,1,0,0,0,0,Christoph de Vries,
19,160,4,CDU/CSU,2260,Vries,Kees,de,1,0,0,0,0,Kees de Vries,
19,160,4,CDU/CSU,2280,Wadephul,Johann David,,1,0,0,0,0,Dr. Johann David Wadephul,
19,160,4,CDU/CSU,2290,Wanderwitz,Marco,,1,0,0,0,0,Marco Wanderwitz,
19,160,4,CDU/CSU,2291,Warken,Nina,,1,0,0,0,0,Nina Warken,
19,160,4,CDU/CSU,2300,Wegner,Kai,,1,0,0,0,0,Kai Wegner,
19,160,4,CDU/CSU,2310,Weiler,Albert H.,,1,0,0,0,0,Albert H. Weiler,
19,160,4,CDU/CSU,2320,Weinberg (Hamburg),Marcus,,1,0,0,0,0,Marcus Weinberg (Hamburg),
19,160,4,CDU/CSU,2330,Weisgerber,Anja,,0,0,0,0,1,Dr. Anja Weisgerber,
19,160,4,CDU/CSU,2340,Weiß (Emmendingen),Peter,,1,0,0,0,0,Peter Weiß (Emmendingen),
19,160,4,CDU/CSU,2350,Weiss (Wesel I),Sabine,,1,0,0,0,0,Sabine Weiss (Wesel I),
19,160,4,CDU/CSU,2360,Wellenreuther,Ingo,,0,0,0,0,1,Ingo Wellenreuther,
19,160,4,CDU/CSU,2370,Wendt,Marian,,1,0,0,0,0,Marian Wendt,
19,160,4,CDU/CSU,2380,Whittaker,Kai,,1,0,0,0,0,Kai Whittaker,
19,160,4,CDU/CSU,2390,Widmann-Mauz,Annette,,1,0,0,0,0,Annette Widmann-Mauz,
19,160,4,CDU/CSU,2400,Wiesmann,Bettina Margarethe,,0,0,0,0,1,Bettina Margarethe Wiesmann,
19,160,4,CDU/CSU,2410,Willsch,Klaus-Peter,,0,1,0,0,0,Klaus-Peter Willsch,
19,160,4,CDU/CSU,2420,Winkelmeier-Becker,Elisabeth,,1,0,0,0,0,Elisabeth Winkelmeier-Becker,
19,160,4,CDU/CSU,2430,Wittke,Oliver,,1,0,0,0,0,Oliver Wittke,
19,160,4,CDU/CSU,2440,Zeulner,Emmi,,1,0,0,0,0,Emmi Zeulner,
19,160,4,CDU/CSU,2450,Ziemiak,Paul,,1,0,0,0,0,Paul Ziemiak,
19,160,4,CDU/CSU,2460,Zimmer,Matthias,,1,0,0,0,0,Dr. Matthias Zimmer,
19,160,4,SPD,3000,Annen,Niels,,1,0,0,0,0,Niels Annen,
19,160,4,SPD,3010,Arndt-Brauer,Ingrid,,1,0,0,0,0,Ingrid Arndt-Brauer,
19,160,4,SPD,3011,Bach,Bela,,1,0,0,0,0,Bela Bach,
19,160,4,SPD,3020,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
19,160,4,SPD,3030,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
19,160,4,SPD,3031,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
19,160,4,SPD,3050,Barnett,Doris,,1,0,0,0,0,Doris Barnett,
19,160,4,SPD,3060,Bartke,Matthias,,1,0,0,0,0,Dr. Matthias Bartke,
19,160,4,SPD,3070,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
19,160,4,SPD,3080,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
19,160,4,SPD,3090,Binding (Heidelberg),Lothar,,1,0,0,0,0,Lothar Binding (Heidelberg),
19,160,4,SPD,3091,Brecht,Eberhard,,1,0,0,0,0,Dr. Eberhard Brecht,
19,160,4,SPD,3100,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
19,160,4,SPD,3110,Brunner,Karl-Heinz,,1,0,0,0,0,Dr. Karl-Heinz Brunner,
19,160,4,SPD,3120,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
19,160,4,SPD,3150,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
19,160,4,SPD,3160,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
19,160,4,SPD,3170,De Ridder,Daniela,,0,0,0,0,1,Dr. Daniela De Ridder,
19,160,4,SPD,3180,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
19,160,4,SPD,3190,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
19,160,4,SPD,3200,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
19,160,4,SPD,3210,Esdar,Wiebke,,0,0,0,0,1,Dr. Wiebke Esdar,Gesetzlicher Mutterschutz
19,160,4,SPD,3220,Esken,Saskia,,1,0,0,0,0,Saskia Esken,
19,160,4,SPD,3230,Fahimi,Yasmin,,1,0,0,0,0,Yasmin Fahimi,
19,160,4,SPD,3240,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
19,160,4,SPD,3250,Felgentreu,Fritz,,1,0,0,0,0,Dr. Fritz Felgentreu,
19,160,4,SPD,3260,Franke,Edgar,,0,0,0,0,1,Dr. Edgar Franke,
19,160,4,SPD,3270,Freese,Ulrich,,1,0,0,0,0,Ulrich Freese,
19,160,4,SPD,3280,Freitag,Dagmar,,1,0,0,0,0,Dagmar Freitag,
